propertyID,name,formerName,streetAddress,city,market,state,lat,lng
74576,Woods Of Ridgemar West,Steppes,2200 Ridgmar Plaza,Fort Worth,DFW,TX,32.73922348,-97.42281342
74579,Hadley at Bellmar,Steppington,10640 Steppington,Dallas,DFW,TX,32.89249802,-96.77058411
74581,Sterling Crest,,7001 Silber,Arlington,DFW,TX,32.66623601,-97.21798338
74582,Cottages at Bedford,,2000 Park Place Blvd,Bedford,DFW,TX,32.83973312,-97.12661743
74584,City Central,,7407 Fair Oaks,Dallas,DFW,TX,32.876663,-96.754707
74592,Uptown,,2601 West Oak,Denton,DFW,TX,33.214298,-97.166
74595,Stewart Creek,,7549 Stonebrook Pkwy,Frisco,DFW,TX,33.137199,-96.817695
74598,Stonebridge at Bear Creek,,2250 Fuller Wiser Rd,Euless,DFW,TX,32.86886416,-97.07376301
74601,Stone Canyon,,2121 Madison Dr,Arlington,DFW,TX,32.76852798,-97.09902191
74602,Stone Creek,,328 Southwest Pkwy,Lewisville,DFW,TX,33.018035,-96.988586
74612,600 East,Stone Ridge,600 E Arkansas Ln,Arlington,DFW,TX,32.70544434,-97.1033783
74613,Stonebrook Village,,7500 Rolling Brook Dr,Frisco,DFW,TX,33.14055634,-96.82064056
74618,Stonegate,,2521 Wolford,McKinney,DFW,TX,33.20034,-96.646095
74621,Dixon at Stonegate,Villas of Oak Hill,2501 Oak Hill Cir,Fort Worth,DFW,TX,32.716346,-97.379417
74625,Stonehill Terrace,,3101 W Northgate,Irving,DFW,TX,32.85580583,-96.98836684
74627,The Stoneleigh at Bear Creek,,1401 HWY 360,Euless,DFW,TX,32.8559494,-97.06621552
74629,The Club at Riverchase,The Marquis at Riverchase,1315 Riverchase Dr,Coppell,DFW,TX,32.95365906,-96.95280457
74630,Stoneleigh at Valley Ranch,,8605 N Macarthur,Irving,DFW,TX,32.92593384,-96.95502472
74631,Stoneleigh of Mesquite,,3700 Poteet,Mesquite,DFW,TX,32.807022,-96.613777
74632,Stoneleigh on Cartwright,,500 W Cartwright,Balch Springs,DFW,TX,32.74618059,-96.60511337
74633,Stoneleigh on Spring Creek,,5501 Naaman Forest Blvd,Garland,DFW,TX,32.96134949,-96.64957428
74634,Stoneleigh Place,,2261 Buckingham,Garland,DFW,TX,32.931571,-96.6622
74639,Stone Ridge,,933 W. Cartwright Road,Mesquite,DFW,TX,32.74723,-96.61053
74641,Gardens on Walnut,Stonewood,4209 Walnut,Garland,DFW,TX,32.917518,-96.696754
74643,Stonewood Terrace,,3872 Dixon Cir,Dallas,DFW,TX,32.7652626,-96.73243713
74655,Strawberry Hill,,800 W Bruton Rd,Mesquite,DFW,TX,32.74666595,-96.60831451
74661,Sugar Creek,,950 Duncan Perry,Grand Prairie,DFW,TX,32.753097,-97.03466
74663,Summerbend,,1301 Meadow Creek Dr,Irving,DFW,TX,32.88285,-96.97104
74664,Lamar Union,Quincy Bend,1908 Randy Snow,Arlington,DFW,TX,32.76487492,-97.08974361
74665,The Laurel,Summer Brook,7000 North Beach,Fort Worth,DFW,TX,32.86742,-97.29023
74669,Summer Glen,,9624 Rolling R ock,Dallas,DFW,TX,32.877849,-96.694
74671,Summer Meadows,,6000 Ohio Dr,Plano,DFW,TX,33.05501938,-96.78730774
74673,Redgate,Landry Hill,812 Brown Blvd,Arlington,DFW,TX,32.77358246,-97.10134125
74676,The Grove at Rosewood,,13250 Emily Rd,Dallas,DFW,TX,32.92648697,-96.76437378
74677,Summer Villas,,17717 Preston Rd,Dallas,DFW,TX,32.995723,-96.800575
74678,Summers Landing,,3900 Centreport Dr,Fort Worth,DFW,TX,32.822056,-97.0553318
74681,Summergate,,3801 North Belt Line,Irving,DFW,TX,32.85846,-96.99322
74682,Summerhill,,10010 Whitehurst,Dallas,DFW,TX,32.899112,-96.721847
74684,Summers Crossing,,1500 Preston Rd,Plano,DFW,TX,33.019092,-96.791725
74689,Summerwood,,4132 N Belt Line Rd,Irving,DFW,TX,32.8674,-96.99136
74690,The Summit,,1057 Americana Ln,Mesquite,DFW,TX,32.80584717,-96.61351013
74692,Summit by Norstar,,621 Cowboys Pkwy,Irving,DFW,TX,32.94446945,-96.95756531
74697,Summit on The Lake,,6555 Shady Oaks Manor,Fort Worth,DFW,TX,32.80052567,-97.42661285
74698,The Heights of Benbrook,Summit on The Ridge,9500 Summit Dr,Benbrook,DFW,TX,32.67461,-97.47209
74699,Summit Park,,1050 Park Ave,Carrollton,DFW,TX,32.96193749,-96.90336227
74700,Summit Plaza,,416 Summit Ave,Arlington,DFW,TX,32.73311622,-97.12170616
74702,Summit Point,,3720 Oates Dr,Mesquite,DFW,TX,32.82077789,-96.65570831
74703,Summit Ridge,,1070 Grandys Ln,Lewisville,DFW,TX,33.06328583,-97.01849365
74704,Summit Ridge,,1604 Ridge Haven Dr,Arlington,DFW,TX,32.76247025,-97.08635712
74705,The Foundry,Summit View,4900 Bryant Irvin Rd N,Fort Worth,DFW,TX,32.71276855,-97.41243744
74708,Sun Colony,,10075 Royal Ln,Dallas,DFW,TX,32.895744,-96.715202
74719,Sunchase Square,,7317 Holly Hill,Dallas,DFW,TX,32.877437,-96.757598
74720,Suncrest,,5444 Peterson Ln,Dallas,DFW,TX,32.929866,-96.815353
74727,Sundance West,,333 Throckmorton St,Fort Worth,DFW,TX,32.75490952,-97.33311462
74729,Ava,The Vive,8401 Skillman,Dallas,DFW,TX,32.893867,-96.726921
74735,Sunridge,,145 E Hwy 303,Grand Prairie,DFW,TX,32.72733688,-96.99165344
74743,Sunset Point,,2015 Randy Snow,Arlington,DFW,TX,32.767189,-97.088493
74746,Sunset Terrace,Advenir at Forest Lane,9180 Forest Ln,Dallas,DFW,TX,32.908336,-96.742835
74750,Surrey Oaks,,3001 Crystal Springs,Bedford,DFW,TX,32.85469,-97.11209
74751,Avion,Surrey Oaks,1814 Estrada Pkwy,Irving,DFW,TX,32.83087403,-97.00105637
74752,Crossings at Irving,,1900 Estrada Pkwy,Irving,DFW,TX,32.83246231,-97.001091
74753,Exchange 7272,Magnolia Creek,7272 Marvin D Love Frwy,Dallas,DFW,TX,32.65842438,-96.87104034
74757,Sutton Place,,18600 Dallas Pky,Dallas,DFW,TX,33.002712,-96.827194
74758,Oasis Springs,Sutton Square,601 Bellaire Dr,Hurst,DFW,TX,32.82076263,-97.16062164
74760,Sweetwater at Buckingham,Sweetwater Ranch,540 Buckingham,Richardson,DFW,TX,32.93351746,-96.72057343
74762,Sycamore Center Villas,,7901 Chandra Ln,Fort Worth,DFW,TX,32.63452,-97.35188
74764,Trinity Meadows,,4633 Sycamore School Rd,Fort Worth,DFW,TX,32.6329689,-97.39064026
